PROVINCIE;BEVOEGD GEZAG NUMMER;INSTELLINGSCODE;VESTIGINGSCODE;VESTIGINGSNAAM;STRAATNAAM;HUISNUMMER-TOEVOEGING;POSTCODE;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;DENOMINATIE;TELEFOONNUMMER;INTERNETADRES;STRAATNAAM CORRESPONDENTIEADRES;HUISNUMMER-TOEVOEGING CORRESPONDENTIEADRES;POSTCODE CORRESPONDENTIEADRES;PLAATSNAAM CORRESPONDENTIEADRES;NODAAL GEBIED CODE;NODAAL GEBIED NAAM;RPA-GEBIED CODE;RPA-GEBIED NAAM;WGR-GEBIED CODE;WGR-GEBIED NAAM;COROPGEBIED CODE;COROPGEBIED NAAM;ONDERWIJSGEBIED CODE;ONDERWIJSGEBIED NAAM;RMC-REGIO CODE;RMC-REGIO NAAM;VAKANTIEREGIO
Noord-Holland;31657;07BH;07BH01;RK Jenaplansch De Pontonnier;Ark;2;1625 CE;HOORN NH;0405;HOORN;Rooms-Katholiek;0229274709;www.depontonnier.nl;Ark;2;1625 CE;HOORN NH;40;Hoorn;19;Noord-Holland-Noord;22;Westfriesland;18;Kop van Noord-Holland;14;Noord-Noord-Holland;22;West-Friesland;Noord
Noord-Holland;31657;07UX;07UX00;Rooms Katholieke Basisschool Maria;Eikstraat;3;1623 LP;HOORN NH;0405;HOORN;Rooms-Katholiek;0229275431; ;Eikstraat;3;1623 LP;HOORN NH;40;Hoorn;19;Noord-Holland-Noord;22;Westfriesland;18;Kop van Noord-Holland;14;Noord-Noord-Holland;22;West-Friesland;Noord
Noord-Holland;31657;08KV;08KV00;Oecumenische Ichthusschool;Grote Beer;1;1622 ES;HOORN NH;0405;HOORN;Interconfessioneel;0229216084;www.ichtushoorn.nl;Grote Beer;1;1622 ES;HOORN NH;40;Hoorn;19;Noord-Holland-Noord;22;Westfriesland;18;Kop van Noord-Holland;14;Noord-Noord-Holland;22;West-Friesland;Noord
Noord-Holland;31657;09AC;09AC00;Rooms Katholieke Bernardus van Bockxmeerschool;Tweeboomlaan;104;1624 EH;HOORN NH;0405;HOORN;Rooms-Katholiek;0229215279;www.bvbockxmeerhoorn.nl;Tweeboomlaan;104;1624 EH;HOORN NH;40;Hoorn;19;Noord-Holland-Noord;22;Westfriesland;18;Kop van Noord-Holland;14;Noord-Noord-Holland;22;West-Friesland;Noord
Noord-Holland;31657;11DE;11DE00;Het Kompas;De Huesmolen;61;1625 HZ;HOORN NH;0405;HOORN;Protestants-Christelijk;0229230076;www.pcbshetkompas.nl;De Huesmolen;61;1625 HZ;HOORN NH;40;Hoorn;19;Noord-Holland-Noord;22;Westfriesland;18;Kop van Noord-Holland;14;Noord-Noord-Holland;22;West-Friesland;Noord
Noord-Holland;31657;11EL;11EL00;Interconfessionele Basisschool De Ceder;Ceder;1;1628 ME;HOORN NH;0405;HOORN;Interconfessioneel;0229272342;www.cederhoorn.nl;Postbus;3023;1620 GA;HOORN NH;40;Hoorn;19;Noord-Holland-Noord;22;Westfriesland;18;Kop van Noord-Holland;14;Noord-Noord-Holland;22;West-Friesland;Noord
Noord-Holland;31657;11EL;11EL02;Dynamis;Stan Kentonhof;86;1628 TR;HOORN NH;0405;HOORN;Protestants-Christelijk;0229230291;www.dynamishoorn.nl;Postbus;3032;1620 GA;HOORN NH;40;Hoorn;19;Noord-Holland-Noord;22;Westfriesland;18;Kop van Noord-Holland;14;Noord-Noord-Holland;22;West-Friesland;Noord
Noord-Holland;31657;11PS;11PS00;De Rank;De Opgang;2-mrt;1689 KZ;ZWAAG;0405;HOORN;Protestants-Christelijk;0229277095;www.rank.nl;De Opgang;3;1689 KZ;ZWAAG;40;Hoorn;19;Noord-Holland-Noord;22;Westfriesland;18;Kop van Noord-Holland;14;Noord-Noord-Holland;22;West-Friesland;Noord
Noord-Holland;31657;29XL;29XL00;Roald Dahl School;Meetketting;1;1689 XD;ZWAAG;0405;HOORN;Interconfessioneel;0229845002;www.roalddahlschool.nl;Meetketting;1;1689 XD;ZWAAG;40;Hoorn;19;Noord-Holland-Noord;22;Westfriesland;18;Kop van Noord-Holland;14;Noord-Noord-Holland;22;West-Friesland;Noord
Noord-Holland;33424;04NR;04NR00;Koorschool van het Muziekinstituut van de Kathedraal;Westergracht;61;2013 ZL;HAARLEM;0392;HAARLEM;Rooms-Katholiek;0235311054;www.koorschoolhaarlem.nl;Westergracht;61;2013 ZL;HAARLEM;43;Haarlem;20;Zuidelijk Noord-Holland;25;West-Kennemerland;21;Agglomeratie Haarlem;15;Zuid-Noord-Holland;25;Zuid-Kennemerland en IJmond;Noord
Noord-Holland;34230;16VH;16VH00;Gooilandschool;Meentweg;44;1405 JB;BUSSUM;1942;GOOISE MEREN;Algemeen bijzonder;0356915994;www.gooilandschool.nl;Meentweg;44;1405 JB;BUSSUM;45;Hilversum;16;Gooi en Vechtstreek;20;Gooi en Vechtstreek;24;Het Gooi en Vechtstreek;15;Zuid-Noord-Holland;20;Gooi en Vechtstreek;Noord
Noord-Holland;35218;04OS;04OS00;Christelijk Instituut Groen van Prinsterer;Dalweg;11;1217 HX;HILVERSUM;0402;HILVERSUM;Protestants-Christelijk;0356245991;www.degroenvanprinsterer.nl;Dalweg;11;1217 HX;HILVERSUM;45;Hilversum;16;Gooi en Vechtstreek;20;Gooi en Vechtstreek;24;Het Gooi en Vechtstreek;15;Zuid-Noord-Holland;20;Gooi en Vechtstreek;Noord
Noord-Holland;36440;07LM;07LM00;Basisschool Comenius;Celebesstraat;7;1782 TC;DEN HELDER;0400;DEN HELDER;Algemeen bijzonder;0223613864;www.abscomenius.nl;Postbus;6032;1780 KA;DEN HELDER;37;Den Helder;19;Noord-Holland-Noord;23;Kop van Noord-Holland;18;Kop van Noord-Holland;14;Noord-Noord-Holland;23;Kop van Noord-Holland;Noord
Noord-Holland;40020;05FP;05FP00;Brede School Omnibus;Pandora;8;1183 KK;AMSTELVEEN;0362;AMSTELVEEN;Rooms-Katholiek;0206419271;www.bredeschool-omnibus.nl;Pandora;8;1183 KK;AMSTELVEEN;44;Amsterdam;20;Zuidelijk Noord-Holland;21;Agglomeratie Amsterdam;23;Groot-Amsterdam;15;Zuid-Noord-Holland;21;Agglomeratie Amsterdam;Noord
